Secondsurf,Head,Shoulder,Arm,Hand,Body,"Hip,leg,foot",Bag,Cup,Headphones,Glass,Mobilephone,Overcoat,Pillow,Mouse,Keyboard,Desktop,Drawer,Fence,Arm,Cushion,Seatback,Controller,Printer,Door,Window,Water dispenser,Tissue dispenser,Trash can,Cabinet,Desk beneath printer,Chair in front of printer
Drawer,0.017857116,0,0.002551022,0.059949053,0.010204109,0.089285779,0.042091837,0.010204109,0.030612227,0.014030612,0.072704165,0.002551022,0.002551022,0.059949053,0.025510223,0.158163141,0.311224277,0.005102045,0.043367339,0.012755111,0.015306114,0,0.001275511,0,0,0,0.003826533,0.005102045,0.003826533,0,0
Fence,0.138888888,0.008333323,0.016666686,0.105555914,0.047222162,0.099999919,0.022222182,0.019444384,0,0.019444384,0.072222142,0.002777778,0,0.055555555,0.038888869,0.116666905,0.002777778,0.099999919,0.058333253,0.005555556,0.041666666,0,0.011111091,0,0,0.002777778,0.011111091,0,0,0.002777778,0
Arm,0.10687692,0.002980628,0.014477289,0.048541564,0.025973981,0.162869879,0.024057882,0.022780483,0.021928884,0.011283792,0.085373536,0.006387055,0.008090264,0.101979924,0.102192924,0.141792895,0.007451554,0.005961246,0.049393163,0.012135391,0.028954678,0.000638706,0.001490309,0.000638706,0.000212902,0.000851606,0.003193528,0.000212902,0.000851606,0.000212902,0.000212902
Cushion,0.081415914,0.007079651,0.010619502,0.065486711,0.030088505,0.182301031,0.017699103,0.008849562,0.019469003,0.015929203,0.084955814,0,0.003539821,0.069026512,0.123894021,0.113274019,0.007079651,0.00176991,0.074336313,0.053097309,0.023008804,0,0,0,0,0,0.00176991,0.00176991,0.00176991,0,0.00176991
Seatback,0.078313212,0.010709488,0.010709488,0.049531444,0.040829954,0.137215846,0.085006604,0.036813859,0.005354744,0.004685405,0.07965181,0.016064282,0.011378787,0.030789765,0.028781768,0.069611722,0.012717486,0.009370809,0.123828861,0.009370809,0.127844856,0.002677377,0.002677377,0.002677377,0,0.004685405,0.003346716,0,0.003346716,0.001338688,0.000669343
Controller,0.033333297,0,0,0.066666693,0,0.033333297,0,0.033333297,0,0.033333297,0.033333297,0.09999999,0.033333297,0,0,0.066666693,0.033333297,0.033333297,0.133332987,0,0.166666983,0.033333297,0,0.166666983,0,0,0,0,0,0,0
Printer,0.060439604,0.00274725,0.00686813,0.027472502,0.015109901,0.064560405,0.009615381,0,0,0.015109901,0.008241761,0.00137363,0,0.00686813,0.042582403,0.059065904,0.00137363,0.008241761,0.012362601,0,0.00274725,0,0.581044041,0,0,0,0,0,0.00137363,0.068681305,0.00412088
Door,0.026315776,0,0.026315776,0.131578882,0,0.131578882,0.013157888,0.013157888,0.013157888,0.013157888,0.052631553,0.026315776,0.013157888,0,0.026315776,0.171052846,0,0.013157888,0.039473664,0,0.065789441,0.065789441,0,0.157894858,0,0,0,0,0,0,0
Window,0,0,0,0.41666675,0,0.08333325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333325,0,0,0,0.41666675,0,0,0,0,0,0
Water dispenser,0.056338032,0,0.003521132,0.014084508,0.010563406,0.063380335,0.01760561,0.457746256,0,0.010563406,0.042253524,0,0,0,0.007042254,0.01760561,0,0,0.042253524,0.003521132,0.028169016,0,0,0,0,0.221831124,0.003521132,0,0,0,0
Tissue dispenser,0.072463857,0.021739117,0.014492811,0.173913136,0.021739117,0.159420124,0.021739117,0.043478334,0.007246386,0.007246386,0.123188096,0.021739117,0.014492811,0.05072464,0.007246386,0.05072464,0,0,0.05072464,0,0.057971045,0,0,0.007246386,0,0,0.072463857,0,0,0,0
Trash can,0.103448052,0,0,0.137931069,0,0.172414086,0,0,0.034482817,0,0.034482817,0,0,0.034482817,0.068965534,0.068965534,0.068965534,0,0.103448052,0.034482817,0.034482817,0,0,0,0,0,0,0.103448052,0,0,0
Cabinet,0.084905719,0,0.009433962,0.028301906,0.009433962,0.132075029,0.04716981,0.028301906,0,0.018867904,0.066037715,0,0,0.037735808,0.009433962,0.113208025,0.028301906,0,0.094339621,0,0.037735808,0,0.018867904,0,0,0,0,0,0.235849052,0,0
Desk beneath printer,0.025423716,0,0.008474585,0.09322036,0.016949211,0.067796643,0.008474585,0.016949211,0,0,0,0,0,0,0.042372927,0.110169071,0,0,0.042372927,0,0.016949211,0,0.398305255,0,0,0,0,0,0,0.135593087,0.016949211
Chair in front of printer,0.044444436,0.022222218,0.022222218,0.044444436,0.022222218,0.088888971,0.066666753,0.022222218,0,0.022222218,0.111111089,0,0,0,0.022222218,0.066666753,0.044444436,0,0.044444436,0.022222218,0.133333107,0,0.066666753,0,0,0,0,0,0,0.022222218,0.111111089
